Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
49,Male,PhD,Divorced,72799,688,45713,Business,Unemployed,19,Poor,0.154313296,120228,0,Port Elizabeth,AS,Cyprus,2,2,Low
25,Non-binary,Bachelor's,Widowed,49427,766,36528,Personal,Unemployed,10,Fair,0.143242424,287140,,New Heather,IL,Namibia,3,1,Low
31,Non-binary,Master's,Widowed,45280,672,6553,Personal,Self-employed,1,Good,0.378889937,,,West Lindaview,MD,Bouvet Island (Bouvetoya),0,1,Low
18,Male,Bachelor's,Widowed,93678,,,Business,Unemployed,10,Poor,0.396635724,246597,1,Melissahaven,MA,Honduras,1,1,Low
32,Non-binary,Bachelor's,Widowed,20205,710,,Auto,Unemployed,4,Fair,0.335964978,227599,0,North Beverly,DC,Pitcairn Islands,4,2,Low
55,Male,Bachelor's,Married,32190,600,29918,Personal,Self-employed,5,Excellent,0.484333305,130507,4,Davidstad,VT,Thailand,,2,Low
37,Non-binary,Master's,Divorced,78855,718,,Home,Self-employed,17,Poor,0.193921289,272522,,Orrstad,OH,Antarctica (the territory South of 60 deg S),3,2,Low
60,Female,PhD,Divorced,,686,15497,Personal,Self-employed,18,Poor,0.328174707,47603,4,West Kelseymouth,NM,Eritrea,2,2,High
68,Female,PhD,Divorced,,,42951,Auto,Self-employed,6,Fair,0.550745935,67070,4,East Kristin,MH,Guadeloupe,2,2,Low
60,Non-binary,Bachelor's,Divorced,,738,37001,Business,Employed,7,Fair,0.338970973,53055,,Johnsonstad,MS,Malawi,1,2,Low
64,Non-binary,Bachelor's,Divorced,118318,702,41029,Business,Unemployed,10,Poor,0.228351473,,1,West Meghanshire,KS,Oman,3,1,Low
55,Female,High School,Divorced,61811,641,43859,Auto,Self-employed,18,Excellent,0.199707086,185670,,Aprilland,NH,Uruguay,,0,Low
41,Male,PhD,Single,94796,742,,Business,Unemployed,16,Good,0.355808376,129119,2,Brittanyton,VI,Gambia,3,0,Low
